职业基本素质模块,培训内容 （课程）,学习单元,课程内容,课堂学时,表现方法,时长（秒）
1.焊工职业认知,1-1职业认知,职业认知,焊接:焊接的概念、焊接的应用,1,图片+文字,120
,,,焊工：焊工的定义、焊工的工作内容,,,
,1-2职业道德与职业守则,职业道德与焊工职业守则,职业道德的内涵、基本要素和特征,1,PPT+讲解,120
,,,"职业道德基本规范
1、爱岗敬业
2、诚实守信
3、办事公道
4、服务群众
5、奉献社会",,,
,,,"焊工职业守则
1、遵守法律、法规和有关规定
2、爱岗敬业，忠于职守
3、工作认真负责，严于律己，吃苦耐劳
4、刻苦学习，不断提高专业能力
5、谦虚谨慎，团队协作，主动配合
6、严格执行工艺文件，保证质量
7、重视安全，环保和职业健康，坚持文明生产",,,180
2.基础知识,2-1焊接识图,制图常识与投影的基本原理,"制图常识：
图纸幅面与格式
比例
字体
图线",4,PPT+讲解,120
,,,"投影的基本原理：
投影基本知识
三视图
剖视图",,讲解+动画辅助,
,,,,,,60
,,,,,,180
,,,,,,120
,,常用零部件的画法及其代号标注,"常用零部件的画法：
钢板的画法
管道的画法
型钢的画法
轴的画法
螺纹的画法
法兰的画法",6,图纸+实际操作（符号标注放在实际操作中讲解）,
,,,,,,60
,,,,,,60
,,,,,,60
,,,,,,60
,,,,,,120
,,,,,,180
,,,"常用零部件的代号标注：
钢板的代号标注
管道的代号标注
型钢的代号标注
轴的代号标注
螺纹的代号标注
法兰的代号标注",,,
,,简单装配图的识读,"简单装配图的识读：
装配图的作用与内容
装配图的表达方法
装配图的尺寸与技术要求
装配图零部件序号和明细栏",4,PPT+讲解,240
,,焊缝符号和焊接方法代号,"焊缝符号及代号：
1、基本符号
2、辅助符号
3、补充符号
4、焊缝尺寸符号
5、焊接位置符号
6、焊接方法代号及英文缩写",8,PPT+实际操作+讲解,120
,,,"焊缝的标注
1、指引线
2、焊缝符号的标注方法",,,
,,,焊接装配图识读,,,600
,2-2常用金属材料知识,金属材料的物理性能、化学性能和力学性能,"金属材料的物理性能和化学性能
金属材料的力学性能
1、强度
2、塑性
3、硬度
4、韧性",6,PPT+讲解,
,,,,,,120
,,,,,,120
,,,,,,120
,,,,,,120
,,金属的晶体结构、合金的组织及Fe-C相图,"金属的晶体结构
1、晶体结构
2、同素异构转变",6,PPT+讲解,120
,,,"合金的组织结构
1、固溶体
2、化合物
3、混合物
4、固溶强化",,,120
,,,"钢的基本组织
1、铁素体
2、奥氏体
3、渗碳体
4、珠光体",,,120
,,,"Fe-C相图
1、相图中的组织
2、共晶反应和共析反应
3、相图中的点
4、相图中的线
5、Fe-C相图的应用",,,150
,,常用钢材的分类、牌号、成分、性能和用途,非合金钢（碳素钢）的成分、分类、牌号、性能和用途,4,图片+文字,120
,,,合金钢的成分、分类、牌号、性能和用途,,,120
,,钢的热处理,钢的热处理原理、过程与用途,6,PPT+讲解,150
,,,"非合金钢在热处理过程中的组织
1、过冷奥氏体
2、索氏体
3、曲氏体
4、贝氏体
5、马氏体",,,
,,,"常用的热处理工艺
退火
正火
淬火
回火
表面热处理",,,150
,2-3焊接基础知识,焊接方法的分类及常用的焊接方法,"焊接方法的分类
1、熔焊
2、压力焊
3、钎焊",4,PPT+讲解,90
,,,"常用的焊接方法及其原理
1、焊条电弧焊
2、钨极氩弧焊
3、埋弧焊
4、二氧化碳气体保护焊
5、气焊",,场景视频+讲解,
,,,,,,90
,,,,,,90
,,,,,,90
,,,,,,90
,,,,,,90
,,焊接接头与坡口,"焊接接头的组成及种类
1、焊接接头的组成
2、焊接接头的种类
坡口
1、开坡口的目的
2、坡口形式
3、坡口尺寸
4、坡口制备方法
5、注意事项",4,PPT+讲解,240
,,焊接变形和焊接应力,"焊接变形
1、焊接变形的概念
2、焊接变形的类型及产生原因
3、预防和矫正焊接变形的方法及措施",4,PPT+讲解,240
,,,"焊接应力
1、焊接应力的概念
2、焊接应力的类型及产生原因
3、控制和减少焊接应力的方法和措施",,,120
,,焊接缺陷与焊接质量检测,"焊接缺陷及其分类
1、焊接缺陷的定义
2、表面缺陷
3、内部缺陷",8,PPT+讲解,120
,,,焊接缺陷的形成原因及预防措施,,,60
,,,焊接质量检测的标准,,,90
,,,"焊缝外观质量检测的标准
1、焊缝外观质量检测的工具
2、焊缝外观质量检测的项目",,,90
,,,"无损检测
1、射线探伤
2、超声波探伤
3、磁粉探伤
4、渗透探伤
5、涡流探伤",,,240
,,焊接工艺文件,"焊接工艺文件
1、焊接工艺评定（WPQ）
2、预焊接工艺规程（PWPS）
3、焊接工艺评定报告（PQR）
4、焊接工艺规程(WPS)
5、焊接作业指导书(WWI)",2,PPT+讲解,240
,2-4焊接材料知识,焊接材料的类别、保管及选用,"焊接材料的类别
1、焊条
2、焊丝
3、焊剂
4、气体
5、钨极",4,PPT+讲解,120
,,,焊接材料的保管,,,30
,,,"焊接材料的选用
1、等强度原则
2、等成分原则",,,60
,2-5电焊机和焊接辅助设备基本知识,电焊机和焊接辅助设备基本知识,"电焊机
1、电焊机的基本原理
2、电焊机的种类及型号
3、电焊机的铭牌号
4、电焊机的选择、应用和日常维护常识",6,PPT+讲解,180
,,,"焊接常用辅助设备
1、滚轮架
2、回转台
3、变位机
4、操作机",,图片+文字,120
,2-6电工基本知识,交流电基本概念、变压器的结构和工作原理,"交流电
1、交流电的概念
2、正炫交流电
3、三相交流电",2,PPT+讲解,60
,,,变压器的结构,,,60
,,,变压器工作原理,,,30
,2-7安全卫生和焊接环境保护知识,安全用电知识,"电流对人体的伤害
1、电伤
2、电击
3、电磁生理伤害",4,图片+文字+实景拍摄,180
,,,"影响电击的因素
1、电流强度
2、电压
3、人体电阻
4、电流频率
5、电流作用时间",,,180
,,,"触电
1、触电的原因
2、触电的类型
3、防止触电的措施",,,120
,,焊接环境保护及焊接安全操作规程,环境保护,4,PPT+讲解,
,,,"焊接环境
1、环境因素
2、焊接环境分类
3、焊接环境保护",,,120
,,,"焊接的三大危险
1、触电
2、火灾
3、爆炸",,,60
,,,焊接安全操作规程,,,30
,,焊接劳动保护知识,"焊接中有害因素对人体的影响
1、烟尘和有害气体对人体的影响
2、电弧辐射对人体的影响
3、高频电磁场对人体的影响",2,PPT+讲解,90
,,,"焊接作业防护措施
1、通风
2、电弧光的防护
3、焊工个人防护",,,60
3.相关法律知识,3-1相关法律、法规常识,（1）相关法律、法规常识,"《中华人民共和国劳动法>>相关知识
1、劳动合同
2、工资
3、工作与休息时间
4、劳动安全卫生
5、女职工与未成年工保护",8,文档+讲解,120
,,,"《中华人民共和国合同法>>相关知识
1、合同的概念
2、合同的订立
3、合同的效力
4、合同的履行
5、合同的变更与转让
6、合同的终止与解除
7、合同的违约责任",,,90
,,,"安全生产相关法律、法规知识
1《安全生产法》
2《刑法》
3《中华人民共和国行政处罚法》
4《建筑法》
5《特种设备安全法》
6《产品质量法》
7《中华人民共和国职业病防治法》
8《劳动防护用品监督管理规定》
9《质量管理条例》
10《工伤保险条例》
11《安全生产许可证条例》
12《建筑工程安全生产管理条例》",,,
,,,"《特种作业人员安全技术培训考核管理办法》相关知识
1、特殊作业的界定
2、特种作业人员的基本条件
3、培训、考核和发证
4、特种作业人员的监督管理",,,90
,,,"《特种设备焊接操作人员考核细则》相关知识
1、特种设备的范围
2、考试程序与考试要求
3、证书管理",,,60
合计,,,,98,,7770
转换分钟,,,,,,129.5
